,locus_tag,Hydra_tpm,Hydra.1_tpm,Hydra.2_tpm,Hydra.3_tpm,Hydra.4_tpm,Liquid_tpm,Liquid.1_tpm,Liquid.2_tpm,Liquid.3_tpm,Liquid.4_tpm
3566,AEP_RS18800,67.12129212173159,59.87953853538296,69.99140668574317,32.761989266457554,64.67542533238698,34.567502509754284,36.84303326503621,39.18430112705647,44.65532314608986,49.93983665044189
3567,AEP_RS18805,114.61908355671108,85.210639001071,44.82007853381062,61.54029478822294,38.65484723354291,23.719724657051568,16.377275310143933,18.264443296035765,22.607732121356612,29.963005162813392
3568,AEP_RS18810,92.08276908515134,60.85030210989887,64.01349294745906,71.91314939342,47.32123647095645,37.160177909001845,30.56983675100191,29.072338168256746,38.6160156528972,41.600839785112264
3569,AEP_RS18815,57.821805838944194,34.38891933763893,40.196182163655855,43.27511029140349,44.571846195548915,16.00646540502565,13.033517434995792,14.466606305966739,23.179701258342043,23.797089970606763
3570,AEP_RS18820,119.13102261937165,136.9804176501563,136.64758750041153,139.55521394717556,123.97314264680476,32.18599346741801,33.70685321066493,40.024848346520045,43.38814374140065,61.901684040463365
3571,AEP_RS18825,89.12258821903856,68.70984170503505,98.09645202252696,73.46810268110781,87.78333849362556,28.16904140087589,16.64274909800886,25.719202124516343,64.4026079809211,59.6983041881844
3572,AEP_RS18830,116.33064019941727,39.53510957891695,86.6463945965125,103.82836212999884,153.72563524091052,54.71243826253349,24.262699518021286,56.23026563370684,231.5440057593302,263.40110573099844
3573,AEP_RS18835,146.18789894309336,128.34551614511597,261.3238477225568,146.7864042098137,140.86088398663944,50.6792549123776,22.217468301259203,34.95790723047681,112.66583497399844,150.59437646986635
3574,AEP_RS18840,102.19296253130935,44.570683370070476,106.56274596111372,55.86617885341909,55.142696764438,30.4203628696793,27.410860325647267,23.132912080885088,34.2556225929504,39.45547745099598
3575,AEP_RS18845,77.18197796548107,122.40848245463324,150.9042912603691,79.11250830920423,126.42815806586071,71.32925616269249,52.08319616374368,54.71275539281231,83.60609718150789,102.12378035684898
3576,AEP_RS18850,90.55208438469825,58.34282246914975,59.015064036207335,35.35887135529487,39.26358498525225,23.011987953082837,19.599871621269166,24.00403127321128,34.85250450505399,37.96554127822379
3577,AEP_RS18855,38.16409751169252,18.91475098770086,29.846999200612824,14.902356179609898,25.741391631186758,5.453875175894953,7.1267622735328,6.251919997640229,6.347576354283791,7.904552834093802
3578,AEP_RS18860,127.77905240951863,75.9952661905848,83.2768125844259,43.658384215079366,80.02985038352033,6.115505316031475,7.592281425406661,8.563235875555709,5.858095632566941,8.864695929152012
3579,AEP_RS18865,23.4377337979416,18.585798796610412,30.54991766004754,43.47195477937833,40.650613802666044,4.802899919051052,3.5146722048903114,5.584719049275461,6.497066377120184,5.844163904143222
3580,AEP_RS18870,188.52647076814227,65.40576188533937,36.8602285209754,101.22201492489125,72.66266365212438,11.24682517713939,7.2011100170718905,12.634282439344487,14.572654976172048,14.97457544696384
3581,AEP_RS18875,50.735800221426516,130.75656094556504,211.62107668512937,108.96252194855941,58.66441521325924,24.624155622131706,16.651978588496963,22.96962093678472,31.806814727302584,32.239380079933916
3582,AEP_RS18880,0.0,43.10655855348298,113.36843393846216,42.452930629308874,41.9031537237566,44.1671362746172,39.3741365639337,33.67726377949641,53.16590994262433,67.33541409100123
3583,AEP_RS18885,41.07183827448814,8.142349948991228,21.414037521709517,64.15109517317784,15.830080295641382,13.842944628843883,9.06425435482224,10.520546932825583,25.39805581561414,31.219146533100567
3584,AEP_RS18890,0.0,55.15785449316638,116.05026785958705,32.59289512830809,75.06521946642849,23.106107318545096,26.45052883690062,35.13689043131245,60.514611298159615,52.14380747105686
3585,AEP_RS18895,98.01234133684669,87.43773524768989,178.85588157336926,66.9759303299513,122.77306592926415,66.99355975604583,76.81638633741399,70.93862446909216,106.79723235006088,97.16565177284456
3586,AEP_RS18900,25.8623269494528,38.453376820573276,58.431106880826576,26.929994975247073,35.71854699391347,16.736057794152487,14.927638356228988,12.324897212194124,14.319970879650926,16.035154946481214
3587,AEP_RS18905,56.00705219248382,55.51602237948564,73.00240064219153,32.80453730446594,48.569564543445146,9.740399220659242,7.447901305535755,11.009874697143054,13.853484990334987,25.678085893026438
3588,AEP_RS18910,0.0,79.26658559613978,29.781111785158927,78.06466051702932,44.03068691502901,8.162753574518275,5.494886745918729,8.506525704194413,17.539100430787204,22.05326024413285
3589,AEP_RS18915,0.0,30.39810647623392,59.95930506078664,44.90576662122449,22.162112413897933,5.8915572340359565,4.555368855243996,4.7954120903111965,11.44372170082844,12.487658613240225
3590,AEP_RS18920,54.24582413611641,53.77023551220623,0.0,52.95491346842511,31.361479830987648,16.089158285599687,13.199518920181394,14.541343939622902,23.134208290084448,20.289172799289677
3591,AEP_RS18925,196.02468267369338,84.19930060888656,136.2711478654242,82.92258040851112,125.92109326078373,13.125628407167428,12.941388793306809,12.2609968218184,16.162399155390816,18.132332582356387
3592,AEP_RS18930,90.31503704337706,53.713931600675124,70.63268920773297,44.08288608104498,52.214400975152216,11.68895345413582,11.499154739303282,14.257115227365002,14.828906392434764,21.793470529215053
3593,AEP_RS18935,176.0221640335206,78.51551736527257,91.77444652161222,120.28330344970847,101.76480190055175,5.220767688592551,3.4862516749316304,5.242797474830026,15.576640143073703,45.129718627781436
3594,AEP_RS18940,297.4167599187072,73.70230557276544,77.53358413032757,29.03390083268825,28.657903983488712,2.40580830790942,2.1037725624587424,1.7717039742529053,4.122276597896946,17.942038237414117
3595,AEP_RS18945,0.0,66.4958579167617,49.96608755065554,46.776840230442176,55.40528103474484,4.392827762219793,1.8980703563516652,3.4252943502222832,6.334917370101459,18.30752420150959
3596,AEP_RS18950,95.68241246196126,35.227599620833686,49.88690199193818,29.355988480594455,31.609986010314014,14.115854662414117,12.994713057748324,8.142538075013352,12.125111514574849,19.95518610937754
3597,AEP_RS18955,119.24082079690103,63.037547992190156,124.33957270670042,31.040852503150568,45.95829763250724,97.31143527476318,89.96778515952593,73.63593614648366,82.7202529789969,95.11209517252861
3598,AEP_RS18960,0.0,24.083006891382507,42.22486271886384,63.24755862144294,46.821364254713956,12.010216748405398,10.769735221150293,10.372370215461844,12.433822371121444,15.634001393727985
3599,AEP_RS18965,0.0,40.711749744956144,53.5350938042738,120.28330344970847,39.57520073910346,3.322306710922532,2.3241677832877534,7.339916464762036,6.1305651968723796,5.368371758337399
3600,AEP_RS18970,29.53796588233736,128.82759165869683,338.8111416106095,98.03913089394047,102.46182109165142,4.699015998667828,4.345875375599703,5.278707046575437,3.149262943598825,4.276595415493228
3601,AEP_RS18975,28.750286792141697,28.4982248214693,104.92878385637664,61.74542910418368,72.02686534516829,26.744569022926385,23.752994745200837,15.927618728533616,37.76428161273386,37.694228777002905
3602,AEP_RS18980,304.9272841590786,164.0806883660354,22.711857977570702,229.63176113126158,58.76317685503241,45.807562226356126,30.812830460254304,61.49960310626373,98.46059255582912,117.55357645179845
3603,AEP_RS18985,193.82215814926985,110.4706467798529,75.79125639706176,208.13065990174272,126.06257763523405,135.42132775897994,121.60750926769938,109.68639211385961,170.27817041200584,265.2263322818344
3604,AEP_RS18990,91.56142290490985,101.64971910842553,76.38128033221228,64.35539802404783,116.45696013672483,108.28180534898469,98.75492536504844,95.66825303009371,110.50636628757219,118.79330822809911
3605,AEP_RS18995,100.00099753788417,54.518343136723885,130.3463153495362,48.81061589263531,77.08560839616673,50.759068618181644,47.39281262443289,35.29542439142092,39.23561725998323,40.72062591273988
3606,AEP_RS19000,33.957031644261846,47.12304891739018,88.522596054311,79.55746054941348,91.61503163225525,29.299082804986114,29.207651827773656,25.28514530183772,32.43889615982865,33.45884033512528
3607,AEP_RS19005,33.82386681428435,60.34918197487616,141.08071779008623,72.64168129903962,110.81056206948968,25.171359080401302,23.351050434444016,24.58152416041874,28.416972794914326,33.87175375486728
3608,AEP_RS19010,73.40498755440433,25.466498776632143,43.05588395322446,46.57778984648285,44.206341251126204,74.8155196349023,78.97472677233418,100.90042612516493,91.60629654815898,93.95265611498115
3609,AEP_RS19015,199.259413410883,22.57285134373806,74.20706071879535,61.134088221964035,60.34238528536567,84.81202115176828,81.66803428602215,84.27580653764726,89.4698326751474,95.47769786800833
3610,AEP_RS19020,163.35390222807783,97.15303916409988,119.23725438224616,102.05856050278292,69.25660129343105,51.44541603883072,47.88313853523519,45.54084533818263,64.51026559436163,64.77710118189638
3611,AEP_RS19025,146.18789894309336,77.28332154974724,139.73566857386717,47.56966803095814,89.21189319153831,75.6153253387086,79.0020082946371,69.08644536889012,88.52951775822487,83.78019549843371
3612,AEP_RS19030,122.43812987189682,80.90978655937656,117.03413251218214,35.857325476332655,70.7859268740431,98.82028384002699,81.98740137733535,56.768581048833816,77.62804006386666,86.82927716093691
3613,AEP_RS19035,192.73935279648063,81.19605954720303,50.24522770456981,89.37251038442024,74.28641032591486,57.36083178830215,48.534855720277214,53.53218404886501,83.22499122011106,109.97433679413142
3614,AEP_RS19040,165.36491898608242,219.1286308169486,149.74700305292328,207.30966931594557,258.2970720287802,134.13939063313055,137.21267439862092,188.5121633311033,187.10905645267607,192.97135871396281
3615,AEP_RS19045,127.2136583723084,100.87867193440462,305.1026584951533,84.44668501778942,156.89991089485267,27.921096812443345,28.3630740987063,24.401433202910958,30.59857319500905,28.241509154820577
3616,AEP_RS19050,38.504848382332625,30.533812308717103,60.22698052980802,45.10623879364068,96.46455180156468,30.419870821884434,28.761576318185945,28.900921080000515,30.543351605846315,45.52792202743833
3617,AEP_RS19055,203.74218986557108,80.78236957266888,106.22711526517321,92.81703730764904,91.61503163225525,32.961468155609374,30.744896660814373,35.60148458498752,35.91449217695315,46.432676383439166
3618,AEP_RS19060,50.00049876894209,59.47455614915334,117.3116838145826,39.04849271410826,52.99635577236464,63.094937883954884,45.83663071736195,56.14504217538264,71.5410303843716,77.41946161187582
3619,AEP_RS19065,171.8144629012452,61.31092192666703,71.66450804078086,53.67223102138385,66.22145143595002,41.04570960386762,34.80695895369986,42.57736403463555,51.43812870363837,54.86498970181906
3620,AEP_RS19070,42.91087580916671,34.0277311301126,89.49150009072635,50.26764920286324,24.808334791676796,32.049515982481545,29.381643469324285,34.76418146494258,44.469472920596665,41.591013347027285
3621,AEP_RS19075,193.82215814926985,57.63685918948847,75.79125639706176,104.06532995087136,121.39359327837353,84.14021715077962,89.1148602299939,117.47989892194965,90.92523662777013,90.81224896644734
3622,AEP_RS19080,862.5086037642509,1595.9005900022812,1648.880889171633,3283.734184177041,3130.3983784630836,2836.474726228627,3566.2030466767283,4930.711217144977,2433.8343831583347,1974.9000843902136
